#input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,output
0.962767418,0.014439976,0.007194831,0.004764718,0.002337261,0.001616728,0.001294961,0.001133569,0.000888502,0.000629456,0.000566256,0.000479975,0.000429118,0.000350744,0.000318428,0.000250782,0.000200506,0.000187615,0.000149156,2.14E-33,10
0.958902703,0.019253834,0.005804089,0.003566819,0.002907227,0.002010433,0.00146401,0.001228076,0.000955075,0.000746409,0.000650095,0.000491031,0.000438591,0.000390329,0.000353039,0.000263459,0.000224411,0.000195908,0.000154461,1.88E-33,10
0.945089448,0.015908716,0.013016645,0.007628565,0.004693976,0.002887406,0.002507937,0.001565565,0.001245609,0.001049986,0.000921438,0.000774207,0.000631751,0.000542235,0.000432626,0.000368805,0.000303539,0.000233687,0.000197859,3.17E-33,10
0.942275606,0.023246007,0.009377531,0.008632176,0.00357056,0.002831193,0.001752407,0.001566284,0.001252704,0.001067987,0.000866128,0.000672616,0.000585648,0.000531935,0.000429178,0.000387372,0.000359502,0.000353486,0.00024168,3.82E-33,10
0.932280501,0.016408951,0.015577628,0.00805465,0.006513201,0.005525073,0.003503848,0.002769748,0.002096236,0.001681753,0.001182533,0.001001339,0.000792904,0.000645652,0.000525651,0.000454806,0.000441562,0.000300143,0.000243819,3.15E-33,10
0.941394675,0.03006744,0.008492853,0.007461797,0.004196559,0.001584437,0.001396912,0.001023975,0.000834923,0.000713326,0.000615463,0.000433593,0.00038398,0.000336792,0.000289781,0.000246295,0.000215156,0.000187784,0.000124258,3.85E-33,10
0.951663926,0.024217249,0.00614205,0.005254165,0.003751221,0.001825339,0.001366385,0.001250036,0.000877898,0.000717443,0.000591257,0.000482207,0.000464728,0.000352551,0.000289885,0.000242318,0.000217606,0.000162638,0.000131097,1.32E-32,10
0.955588253,0.027120003,0.004931273,0.004532608,0.001700745,0.001488965,0.000926774,0.000756539,0.000660198,0.000495216,0.000354599,0.000337409,0.000249227,0.000202235,0.000177192,0.000162031,0.000117894,0.000108418,9.04E-05,2.58E-33,10
0.939385125,0.024158746,0.008228998,0.006707486,0.004684781,0.003651011,0.002734881,0.002610964,0.00157696,0.001487004,0.001345564,0.00101739,0.000699099,0.000536735,0.000450753,0.000295497,0.000198844,0.000135842,9.43E-05,3.23E-33,10
0.957965881,0.027538971,0.004135989,0.002651658,0.002026522,0.001193976,0.000990978,0.000806926,0.000623846,0.000508768,0.000356749,0.000272169,0.000226017,0.000213695,0.000135443,0.000118168,0.000104609,7.53E-05,5.43E-05,1.25E-32,10
